Böttcherin Twister HS;"Kohlenwasserstoffe, C14-C18, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@>= 70%; < 90%|Poly(propenoxid)@25322-69-4@<2,50%|Alkohole, C12-14, ethoxyliert@68439-50-9@<0,50%|Amine, C12-14-Alkyldimethyl@84649-84-3@<0,10%"
Böttcherin UV-60 S;2-(2-Butoxy)ethanol@112-34-5@>= 25% - < 50%|(2-Methoxymethylethoxy)Propanol@34590-94-8@>=25% -<50%|Hexan-1-ol, ethoxyliert@31726-34-8@< 5%|Alkohole, C11-15, sekundäre, ethoxyliert@68131-40-8@< 5%
Böttcherin Ventana;Kohlenwasserstoffe, C10-C13, n-Alkane, iso-Alkane, cyclische Verbindungen, <2% Aromaten@@<100%|2-Ethylhexyl-2-ethylhexanoat@7425-14-1@<0,50%|Amine, C12-14-Alkyldimethyl@68439-50-9@<0,10%
CLEAN CLICK falz;Alokohole, C9-C16, ethoxylierte@97043-91-9@15 - 25%|Sulfobernsteinsäure Diisooctyl Ester@k.A.@1 - 10%|2-Brom-2-nitropropan-1,3-diol@52-51-7@< 1%
CLEAN QUICK;Butyldiglykol@112-34-5@10 - 20%|ALkohol, C10-C16, ehtoxyliert, propox@69227-22-1@10 15%
CLEAN QUICK dust;Alkohole, C9-C16, ethoxylierte@97043-971-9@< 25%|Sulfobernsteinsäure Diisooctyl Ester@@< 10%
CLEAN QUICK refresh;4-Hydroxy-4-methylpentan-2-on@123-42-2@20 - 30%|Butyldiglykol@112-34-5@10 - 15%|Alkohol, C10-16, ethoxyliert, propox@69227-22-1@5 - 10%
CLEAN QUICK soft/d;Alkohole, C9-C16, ethoxylierte@97043-91-9@1 - 5%
CLEAN QUICK UV;Butyldiglykol@112-34-5@> 80%|Alkohole, C9-C16, ehtoxylierte@97043-97-9@5 - 10%
Conventional wash RA 1.0;Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane, zyklische Verbindungen, <2% Aromaten@64742-48-9@>= 50%
Digitech 700;Solvent naphtha (petroleum), medium aliph.@64742-88-7@90 - 100%
DIP Solution BO;Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%
